Facility ID,State,Hospital Type,Hospital Ownership,Hospital Ownership2,Ownership 3,Hospital overall rating
34023,AZ,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
34024,AZ,Psychiatric,Proprietary,Proprietary,,Not Available
34025,AZ,Psychiatric,Proprietary,Proprietary,,Not Available
34026,AZ,Psychiatric,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
34027,AZ,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
34028,AZ,Psychiatric,Proprietary,Proprietary,,Not Available
34029,AZ,Psychiatric,Proprietary,Proprietary,,Not Available
34030,AZ,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
34031,AZ,Psychiatric,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
34032,AZ,Psychiatric,Proprietary,Proprietary,,Not Available
34033,AZ,Psychiatric,Proprietary,Proprietary,,Not Available
34034,AZ,Psychiatric,Physician,Physician,,Not Available
34035,AZ,Psychiatric,Proprietary,Proprietary,,Not Available
34036,AZ,Psychiatric,Proprietary,Proprietary,,Not Available
34038,AZ,Psychiatric,Proprietary,Proprietary,,Not Available
34040,AZ,Psychiatric,Proprietary,Proprietary,,Not Available
40001,AR,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,4
40002,AR,Acute Care,Government - Local,Government , Local,4
40004,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
40007,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
40010,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
40011,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
40014,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
40015,AR,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,2
40016,AR,Acute Care,Government - State,Government , State,2
40017,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
40018,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
40019,AR,Acute Care,Proprietary,Proprietary,,2
40020,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
40022,AR,Acute Care,Proprietary,Proprietary,,2
40026,AR,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
40027,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
40029,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
40036,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
40039,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
40041,AR,Acute Care,Proprietary,Proprietary,,2
40047,AR,Acute Care,Government - Local,Government , Local,1
40050,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
40051,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
40055,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
40062,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
40067,AR,Acute Care,Government - Local,Government , Local,3
40069,AR,Acute Care,Government - Local,Government , Local,2
40071,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
40072,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
40076,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
40078,AR,Acute Care,Proprietary,Proprietary,,1
40084,AR,Acute Care,Proprietary,Proprietary,,3
40085,AR,Acute Care,Proprietary,Proprietary,,Not Available
40088,AR,Acute Care,Proprietary,Proprietary,,3
04009F,AR,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,5
04010F,AR,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,4
40114,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
40118,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
40119,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
40132,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
40134,AR,Acute Care,Proprietary,Proprietary,,5
40137,AR,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
40147,AR,Acute Care,Physician,Physician,,Not Available
40152,AR,Acute Care,Proprietary,Proprietary,,Not Available
40153,AR,Acute Care,Proprietary,Proprietary,,Not Available
40154,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
40156,AR,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
40161,AR,Acute Care,Proprietary,Proprietary,,Not Available
41300,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41302,AR,Critical Access Hospitals,Government - Local,Government , Local,Not Available
41303,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41304,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41305,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41306,AR,Critical Access Hospitals,Proprietary,Proprietary,,Not Available
41307,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,1
41308,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41309,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41310,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41311,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41312,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,5
41313,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41314,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41316,AR,Critical Access Hospitals,Government - Local,Government , Local,Not Available
41317,AR,Critical Access Hospitals,Government - Local,Government , Local,Not Available
41318,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41320,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41321,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41322,AR,Critical Access Hospitals,Government - Local,Government , Local,Not Available
41323,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41324,AR,Critical Access Hospitals,Voluntary non-profit - Church,Voluntary non-profit,Church,Not Available
41326,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41327,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41328,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41329,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
41330,AR,Critical Access Hospitals,Government - Local,Government , Local,Not Available
41331,AR,Critical Access Hospitals,Proprietary,Proprietary,,Not Available
41332,AR,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
43300,AR,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
43301,AR,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
44004,AR,Psychiatric,Proprietary,Proprietary,,Not Available
44005,AR,Psychiatric,Proprietary,Proprietary,,Not Available
44006,AR,Psychiatric,Proprietary,Proprietary,,Not Available
44007,AR,Psychiatric,Proprietary,Proprietary,,Not Available
44011,AR,Psychiatric,Government - State,Government , State,Not Available
44017,AR,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
44019,AR,Psychiatric,Proprietary,Proprietary,,Not Available
44020,AR,Psychiatric,Proprietary,Proprietary,,Not Available
44021,AR,Psychiatric,Voluntary non-profit - Church,Voluntary non-profit,Church,Not Available
44022,AR,Psychiatric,Proprietary,Proprietary,,Not Available
50002,CA,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,1
50006,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
50007,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
50008,CA,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,3
50009,CA,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
50013,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
50014,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
50017,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
50022,CA,Acute Care,Proprietary,Proprietary,,2
50024,CA,Acute Care,Proprietary,Proprietary,,2
50025,CA,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,5
50026,CA,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,5
50028,CA,Acute Care,Proprietary,Proprietary,,3
50030,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
50036,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
50038,CA,Acute Care,Government - Local,Government , Local,2
50039,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
50040,CA,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,2
50042,CA,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
50043,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
50045,CA,Acute Care,Government - Local,Government , Local,1
50047,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
50054,CA,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
50055,CA,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,5
50056,CA,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,1
50057,CA,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
50058,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
50060,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
50063,CA,Acute Care,Proprietary,Proprietary,,2
50067,CA,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
50069,CA,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
50070,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
50071,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
50072,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
50073,CA,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,5
50075,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
50076,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
50077,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
50078,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
50082,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
50084,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
50089,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
50090,CA,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,2
50091,CA,Acute Care,Proprietary,Proprietary,,Not Available
50093,CA,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,2
50096,CA,Acute Care,Proprietary,Proprietary,,Not Available
50099,CA,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,4
50100,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
50101,CA,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
50102,CA,Acute Care,Proprietary,Proprietary,,2
50103,CA,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,2
50104,CA,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
50107,CA,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
